WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
SNOW,DUSK,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,Y,Y,"$501 - $1,500",02/13/2025 10:09,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,4000,E,134TH ST,433,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,2,,,,,
SNOW,DAYLIGHT,ANGLE,ONE-WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 15:15,WEATHER,WEATHER,4754,W,WELLINGTON AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,4,2,,,,,
SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",02/12/2025 18:00,IMPROPER LANE USAGE,NOT APPLICABLE,5044,S,LAKE PARK AVE,222,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,15,4,2,,,,,
SNOW,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 14:00,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,1213,S,COLUMBUS DR,132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,4,2,,,,,
SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",02/12/2025 7:52,UNABLE TO DETERMINE,NOT APPLICABLE,4300,S,STATE ST,215,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,4,2,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 21:00,UNABLE TO DETERMINE,NOT APPLICABLE,701,N,LAKE SHORE DR NB,1834,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,6,3,,,,,
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",02/12/2025 18:45,UNABLE TO DETERMINE,NOT APPLICABLE,115,N,PINE AVE,1523,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,4,2,,,,,
CLOUDY/OVERCAST,DAWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 8:40,IMPROPER OVERTAKING/PASSING,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",2321,S,CALIFORNIA AVE,1034,Y,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,4,2,,,,,
UNKNOWN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 1:15,NOT APPLICABLE,NOT APPLICABLE,6925,S,ST LAWRENCE AVE,322,,,,,,,1,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,1,6,3,,,,,
SNOW,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 10:20,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4799,W,DIVISION ST,1111,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,4,2,,,,,
SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",02/12/2025 14:45,UNABLE TO DETERMINE,NOT APPLICABLE,2801,N,MERRIMAC AVE,2511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,4,2,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 17:28,NOT APPLICABLE,NOT APPLICABLE,3718,N,OKETO AVE,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,6,3,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ALLEY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 23:00,UNABLE TO DETERMINE,NOT APPLICABLE,1212,N,ASHLAND AVE,1424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,6,3,,,,,
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 15:16,UNABLE TO DETERMINE,NOT APPLICABLE,3421,W,ROOSEVELT RD,1021,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,6,3,,,,,
UNKNOWN,UNKNOWN,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",03/21/2025 20:25,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,401,S,CLINTON ST,121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,6,3,,,,,
CLEAR,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/24/2025 14:20,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3445,W,COLUMBUS AVE,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,3,4,,,,,
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",04/24/2025 12:10,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5157,N,FRANCISCO AVE,2031,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,11,4,4,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/24/2025 7:25,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,2355,N,KOSTNER AVE,2522,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,5,4,,,,,
CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",03/21/2025 23:13,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4926,W,DIVERSEY AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,23,6,3,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",03/21/2025 14:00,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,9500,S,STONY ISLAND AVE,511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,6,3,,,,,
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",03/21/2025 11:00,IMPROPER LANE USAGE,NOT APPLICABLE,2933,W,PETERSON AVE,2011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,6,3,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,09/12/2023 22:05,IMPROPER LANE USAGE,NOT APPLICABLE,2,W,TERMINAL ST,1652,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,3,9,,,,,
SNOW,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 15:27,UNABLE TO DETERMINE,NOT APPLICABLE,4515,W,FULLERTON AVE,2522,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,4,2,,,,,
CLEAR,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",03/21/2025 7:15,UNABLE TO DETERMINE,NOT APPLICABLE,3601,W,FULLERTON AVE,2525,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,6,3,,,,,
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",03/21/2025 16:55,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,900,N,LAKE SHORE DR NB,1833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,3,,,,,
UNKNOWN,UNKNOWN,REAR END,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/21/2025 16:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5500,S,LAWNDALE AVE,822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,3,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,03/21/2025 12:00,UNABLE TO DETERMINE,NOT APPLICABLE,3826,W,AINSLIE ST,1712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,6,3,,,,,
CLEAR,DAYLIGHT,FIXED OBJECT,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,03/21/2025 9:01,IMPROPER BACKING,NOT APPLICABLE,515,W,OHARE ST,1654,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,6,3,,,,,
CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/24/2025 16:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3501,W,31ST ST,1032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,5,4,,,,,
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",03/21/2025 8:21,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,600,S,WOOD ST,1231,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,6,3,,,,,
CLEAR,DAYLIGHT,TURNING,Y-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",03/21/2025 16:54,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,5674,N,RIDGE AVE,2013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,16,6,3,,,,,
SNOW,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 18:22,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,11100,S,MARSHFIELD AVE,2234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,2,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",03/21/2025 14:15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3400,S,CALIFORNIA AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,6,3,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/21/2025 17:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,522,N,MILWAUKEE AVE,1214,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,6,3,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/21/2025 14:08,FOLLOWING TOO CLOSELY,NOT APPLICABLE,2050,W,FOSTER AVE,2012,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,6,3,,,,,
BLOWING SNOW,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",02/12/2025 8:56,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1059,E,HYDE PARK BLVD,233,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,3,0,8,4,2,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",03/21/2025 11:47,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7817,S,CREGIER AVE,414,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,6,3,,,,,
CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",03/21/2025 17:16,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3101,N,WESTERN AVE,1931,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,3,,,,,
CLEAR,DUSK,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/24/2025 9:00,UNABLE TO DETERMINE,NOT APPLICABLE,1114,W,ARMITAGE AVE,1811,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,3,3,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 13:31,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,7459,S,KEDZIE AVE,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,12,6,3,,,,,
SNOW,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",02/12/2025 19:08,DISREGARDING STOP SIGN,NOT APPLICABLE,4198,S,MICHIGAN AVE,213,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,2,,,,,
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 13:01,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,475,W,OHARE ST,1654,,,,,,,2,INCAPACITATING INJURY,2,0,2,0,0,2,0,12,6,3,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 3:39,EQUIPMENT - VEHICLE CONDITION,UNABLE TO DETERMINE,1504,W,61ST ST,713,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,6,3,,,,,
CLEAR,DAYLIGHT,TURNING,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",03/21/2025 8:26,UNABLE TO DETERMINE,NOT APPLICABLE,3701,W,OGDEN AVE,1014,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,9,0,7,6,3,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 19:25,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7035,N,SHERIDAN RD,2423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,3,,,,,
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 22:08,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,29,E,71ST ST,323,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,21,6,3,,,,,
CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",04/23/2025 11:45,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",UNABLE TO DETERMINE,1604,N,MILWAUKEE AVE,1434,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,2,0,11,4,4,,,,,
CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/24/2025 8:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4798,W,44TH ST,815,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,5,4,,,,,
SNOW,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 13:55,WEATHER,NOT APPLICABLE,2403,S,BLUE ISLAND AVE,1034,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,4,2,,,,,
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 18:10,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1800,W,LAKE ST,1223,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,3,,,,,
CLEAR,DAYLIGHT,ANGLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 14:15,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1346,W,GEORGE ST,1932,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,6,3,,,,,
CLEAR,DAYLIGHT,REAR END,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",08/18/2023 12:55,FOLLOWING TOO CLOSELY,DISTRACTION - FROM INSIDE VEHICLE,700,W,OHARE ST,1654,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,12,6,8,,,,,
CLEAR,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 17:46,DISREGARDING TRAFFIC SIGNALS,DISREGARDING TRAFFIC SIGNALS,4201,W,DIVISION ST,1111,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,2,0,17,6,3,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/24/2025 14:10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,805,S,STATE ST,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,4,,,,,
CLEAR,DAYLIGHT,ANGLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",04/24/2025 19:25,UNABLE TO DETERMINE,UNABLE TO DETERMINE,935,E,79TH ST,624,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,4,,,,,
SNOW,DARKNESS,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",02/12/2025 20:04,WEATHER,NOT APPLICABLE,4549,N,KEDZIE AVE,1724,,,,,,,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,2,0,19,4,2,,,,,
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/21/2025 16:59,DRIVING ON WRONG SIDE/WRONG WAY,NOT APPLICABLE,7718,W,ADDISON ST,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,16,6,3,,,,,
CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",03/21/2025 11:23,UNABLE TO DETERMINE,NOT APPLICABLE,8300,S,YATES BLVD,412,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,2,0,11,6,3,,,,,
SNOW,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/12/2025 15:45,WEATHER,WEATHER,2232,W,95TH ST,2221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,4,2,,,,,
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",03/21/2025 16:47,UNABLE TO DETERMINE,NOT APPLICABLE,121,S,LA SALLE ST,122,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,3,,,,,
CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/21/2025 17:55,UNABLE TO DETERMINE,NOT APPLICABLE,4300,S,KEDZIE AVE,821,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,3,,,,,
